date_key,reading_date,year,month,location_id,locality,timezone,pollutant,unit,reading_count,avg_value,min_value,max_value
20240412,2024-04-12,2024,4,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,10.1417,2.5,33.2
20240627,2024-06-27,2024,6,1775647,,America/New_York,pm25,µg/m³,24,7.9271,4.98,18.6
20240628,2024-06-28,2024,6,2153518,,America/New_York,pm25,µg/m³,24,3.7847,0.933,6.16
20241108,2024-11-08,2024,11,3103622,,America/New_York,pm25,µg/m³,24,2.7767,1.91,4.21
20241128,2024-11-28,2024,11,3145070,,America/New_York,pm25,µg/m³,24,10.5971,3.31,14.0
20240421,2024-04-21,2024,4,2386747,,America/New_York,pm25,µg/m³,9,2.6967,1.79,5.29
20240621,2024-06-21,2024,6,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,22,10.7091,3.9,15.4
20240614,2024-06-14,2024,6,292229,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,9.0957,4.2,16.3
20241126,2024-11-26,2024,11,496096,RICHMOND,America/New_York,pm25,µg/m³,24,7.3125,3.1,11.5
20241015,2024-10-15,2024,10,971,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,16,2.3375,0.5,4.8
20241026,2024-10-26,2024,10,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,5.1667,2.9,9.7
20240312,2024-03-12,2024,3,857,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,22,3.6455,0.1,7.4
20240325,2024-03-25,2024,3,631,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,4.5913,3.4,5.7
20240318,2024-03-18,2024,3,648,KINGS,America/New_York,pm25,µg/m³,24,2.5625,1.8,3.2
20240302,2024-03-02,2024,3,496096,RICHMOND,America/New_York,pm25,µg/m³,21,3.3952,0.0,6.0
20240407,2024-04-07,2024,4,628,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,22,2.85,1.0,9.3
20241117,2024-11-17,2024,11,3041962,,America/New_York,pm25,µg/m³,24,8.0529,3.58,31.1
20241129,2024-11-29,2024,11,3145067,,America/New_York,pm25,µg/m³,23,7.1457,2.78,12.1
20241023,2024-10-23,2024,10,2903996,,America/New_York,pm25,µg/m³,24,27.9375,13.7,49.3
20241018,2024-10-18,2024,10,3145067,,America/New_York,pm25,µg/m³,24,5.1342,4.38,6.2
20240603,2024-06-03,2024,6,628,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,11.4292,4.4,19.1
20240626,2024-06-26,2024,6,628,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,8.5458,5.2,12.4
20241121,2024-11-21,2024,11,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,15,3.7067,1.5,7.8
20241026,2024-10-26,2024,10,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,5.2826,0.4,11.8
20240318,2024-03-18,2024,3,292229,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,2.85,0.6,5.6
20240321,2024-03-21,2024,3,292229,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,20,3.1,1.1,4.9
20240315,2024-03-15,2024,3,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,14.1087,2.7,28.5
20240319,2024-03-19,2024,3,496096,RICHMOND,America/New_York,pm25,µg/m³,18,1.2778,0.1,5.2
20240422,2024-04-22,2024,4,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.5875,1.2,9.6
20240408,2024-04-08,2024,4,648,KINGS,America/New_York,pm25,µg/m³,24,5.1083,3.7,8.9
20241121,2024-11-21,2024,11,1824516,,America/New_York,pm25,µg/m³,24,3.5923,0.167,17.3
20241111,2024-11-11,2024,11,3145070,,America/New_York,pm25,µg/m³,24,7.4425,4.66,13.9
20241008,2024-10-08,2024,10,2903996,,America/New_York,pm25,µg/m³,24,4.7913,2.76,7.0
20241017,2024-10-17,2024,10,3041962,,America/New_York,pm25,µg/m³,24,3.8654,2.26,5.02
20241031,2024-10-31,2024,10,3181018,,America/New_York,pm25,µg/m³,22,19.55,10.1,29.6
20240602,2024-06-02,2024,6,384,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,8.7583,7.3,12.3
20241129,2024-11-29,2024,11,384,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.9333,1.1,9.7
20241109,2024-11-09,2024,11,971,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,17,1.5824,0.0,5.3
20241128,2024-11-28,2024,11,496096,RICHMOND,America/New_York,pm25,µg/m³,24,5.6667,2.7,9.1
20241102,2024-11-02,2024,11,631,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,2.9375,1.5,4.9
20241107,2024-11-07,2024,11,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,9.4652,5.7,14.7
